2026-01-31 11:26:18,043 | INFO | Historical Data | [168/9165] Downloading 67TR30-SG
2026-01-31 11:26:18,132 | INFO | Historical Data | [169/9165] Downloading 668UP30-SG
2026-01-31 11:26:18,222 | INFO | Historical Data | [170/9165] Downloading 676MP33-SG
2026-01-31 11:26:18,309 | INFO | Historical Data | [171/9165] Downloading ARE&M
2026-01-31 11:26:18,435 | INFO | Historical Data | [172/9165] Downloading SHAREINDIA
2026-01-31 11:26:18,574 | INFO | Historical Data | [173/9165] Downloading OMFURN-SM
2026-01-31 11:26:18,662 | INFO | Historical Data | [174/9165] Downloading ROUTE
2026-01-31 11:26:18,801 | INFO | Historical Data | [175/9165] Downloading ANDHRSUGAR
2026-01-31 11:26:18,949 | INFO | Historical Data | [176/9165] Downloading GODREJAGRO
2026-01-31 11:26:19,068 | INFO | Historical Data | [177/9165] Downloading SGBSEP28VI-GB
2026-01-31 11:26:19,222 | INFO | Historical Data | [178/9165] Downloading APCOTEXIND
2026-01-31 11:26:19,353 | INFO | Historical Data | [179/9165] Downloading APOLLOHOSP
2026-01-31 11:26:19,466 | INFO | Historical Data | [180/9165] Downloading 67MH28-SG
2026-01-31 11:26:19,557 | INFO | Historical Data | [181/9165] Downloading 674UP30-SG
2026-01-31 11:26:19,645 | INFO | Historical Data | [182/9165] Downloading MILTON-ST
2026-01-31 11:26:19,770 | INFO | Historical Data | [183/9165] Downloading APOLLOTYRE
2026-01-31 11:26:19,886 | INFO | Historical Data | [184/9165] Downloading 68AS30-SG
2026-01-31 11:26:19,977 | INFO | Historical Data | [185/9165] Downloading 674GA30-SG
2026-01-31 11:26:20,074 | INFO | Historical Data | [186/9165] Downloading ANDHRAPAP
2026-01-31 11:26:20,204 | INFO | Historical Data | [187/9165] Downloading 67GJ30-SG
2026-01-31 11:26:20,295 | INFO | Historical Data | [188/9165] Downloading 67KA30-SG
2026-01-31 11:26:20,381 | INFO | Historical Data | [189/9165] Downloading 672RJ30-SG
2026-01-31 11:26:20,470 | INFO | Historical Data | [190/9165] Downloading 673SK30-SG
2026-01-31 11:26:20,559 | INFO | Historical Data | [191/9165] Downloading 669TN30-SG
2026-01-31 11:26:20,647 | INFO | Historical Data | [192/9165] Downloading ARENTERP
2026-01-31 11:26:20,779 | INFO | Historical Data | [193/9165] Downloading 678KA32-SG
2026-01-31 11:26:20,873 | INFO | Historical Data | [194/9165] Downloading TCPLPACK
2026-01-31 11:26:21,021 | INFO | Historical Data | [195/9165] Downloading 678MH32-SG
2026-01-31 11:26:21,113 | INFO | Historical Data | [196/9165] Downloading 850NHAI29-N5
2026-01-31 11:26:21,204 | INFO | Historical Data | [197/9165] Downloading 875NHAI29-N6
2026-01-31 11:26:21,340 | INFO | Historical Data | [198/9165] Downloading ARVIND
2026-01-31 11:26:21,465 | INFO | Historical Data | [199/9165] Downloading MASFIN
2026-01-31 11:26:21,587 | INFO | Historical Data | [200/9165] Downloading UNIDT
2026-01-31 11:26:21,720 | INFO | Historical Data | [201/9165] Downloading ASHAPURMIN
2026-01-31 11:26:21,846 | INFO | Historical Data | [202/9165] Downloading ASHIMASYN
2026-01-31 11:26:21,976 | INFO | Historical Data | [203/9165] Downloading ASHOKLEY
